"name","year","rate","margin_of_error","population","murder","rape","robbery","agg_assault","b_and_e","larceny_theft","mv_theft","grand_total","percent_change","violent_crime_total","violent_crime_percent","violent_crime_percent_change","property_crime_totals","property_crime_percent","property_crime_percent_change","overall_crime_rate_per_100k","overall_percent_change_per_100k","violent_crime_rate_per_100k","violent_crime_rate_percent_change_per_100k","property_crime_rate_per_100k","property_crime_rate_percent_change_per_100k","murder_per_100k","rape_per_100k","robbery_per_100k","agg_assult_per_100k","b_and_e_per_100k","larceny_theft_per_100k","mv_theft_per_100k","murder_rate_percent_change__per_100k","rape_rate_percent_change_per_100k","robbery__rate_percent_change_per_100k","agg_assult_rate_percent_change_per_100k","b_and_e_rate_percent_change_per_100k","larceny_theft_rate_percent_change_per_100k","mv_theft_rate_percent_change_per_100k"
"Somerset County","2012","29.6","6.2","26593","3","9","9","54","147","338","9","569","-14.0","75","13.2","-7.4","494","86.8","-15.0","2139.7","-13.6","282.0","-7.0","1857.6","-14.6","11.3","33.8","33.8","203.1","552.8","1271.0","33.8","50.7","352.2","-52.4","-6.4","-9.4","-16.1","-30.4"
"Somerset County","2013","28.5","5.7","26226","2","8","14","47","126","371","17","585","2.8","71","12.1","-5.3","514","87.9","4.0","2230.6","4.3","270.7","-4.0","1959.9","5.5","7.6","30.5","53.4","179.2","480.4","1414.6","64.8","-32.4","-9.9","57.7","-11.7","-13.1","11.3","91.5"
"St. Mary's County","2006","7.5","1.4","96782","5","15","61","239","557","1662","177","2716","17.2","320","11.8","-11.1","2396","88.2","22.4","2806.3","15.8","330.6","-12.2","2475.7","20.9","5.2","15.5","63.0","246.9","575.5","1717.3","182.9","394.1","-38.2","34.0","-18.6","32.6","17.2","23.2"
"St. Mary's County","2007","7.7","1.5","99909","1","15","45","266","616","1605","128","2676","-1.5","327","12.2","2.2","2349","87.8","-2.0","2678.4","-4.6","327.3","-1.0","2351.1","-5.0","1.0","15.0","45.0","266.2","616.6","1606.5","128.1","-80.6","-3.1","-28.5","7.8","7.1","-6.5","-29.9"
"St. Mary's County","2008","7.4","1.4","101533","2","11","44","247","519","1567","135","2525","-5.6","304","12.0","-7.0","2221","88.0","-5.4","2486.9","-7.2","299.4","-8.5","2187.5","-7.0","2.0","10.8","43.3","243.3","511.2","1543.3","133.0","96.8","-27.8","-3.8","-8.6","-17.1","-3.9","3.8"
"St. Mary's County","2009","8.5","1.7","103916","0","20","45","243","435","1506","115","2364","-6.4","308","13.0","1.3","2056","87.0","-7.4","2274.9","-8.5","296.4","-1.0","1978.5","-9.6","0.0","19.2","43.3","233.8","418.6","1449.2","110.7","-100.0","77.6","-0.1","-3.9","-18.1","-6.1","-16.8"
"St. Mary's County","2010","7.5","1.9","105411","4","12","40","267","486","1655","103","2567","8.6","323","12.6","4.9","2244","87.4","9.1","2435.2","7.0","306.4","3.4","2128.8","7.6","3.8","11.4","37.9","253.3","461.1","1570.0","97.7","400.0","-40.9","-12.4","8.3","10.1","8.3","-11.7"
"St. Mary's County","2011","8.6","1.8","106148","1","23","61","186","712","1841","133","2957","15.2","271","9.2","-16.1","2686","90.8","19.7","2785.7","14.4","255.3","-16.7","2530.4","18.9","0.9","21.7","57.5","175.2","670.8","1734.4","125.3","-75.2","90.3","51.4","-30.8","45.5","10.5","28.2"
"St. Mary's County","2012","8.4","1.7","108522","0","12","51","194","753","1938","87","3035","2.6","257","8.5","-5.2","2778","91.5","3.4","2796.7","0.4","236.8","-7.2","2559.8","1.2","0.0","11.1","47.0","178.8","693.9","1785.8","80.2","-100.0","-49.0","-18.2","2.0","3.4","3.0","-36.0"
"St. Mary's County","2013","8.2","1.8","110294","3","6","62","172","641","1741","119","2744","-9.6","243","8.9","-5.4","2501","91.1","-10.0","2487.9","-11.0","220.3","-7.0","2267.6","-11.4","2.7","5.4","56.2","155.9","581.2","1578.5","107.9","300.0","-50.8","19.6","-12.8","-16.2","-11.6","34.6"
